model,scenario,temp_condition,n_windows,params,mae_pct,rmse_pct,maxe_pct,pvr_discharge_eps0,pvr_charge_eps0,pvr_rest_eps0,pvr_total_eps0,pvr_discharge_eps0.0005,pvr_discharge_eps0.001,pvr_discharge_eps0.0025,pvr_discharge_eps0.005,pvr_discharge_eps0.01,delta_soc_mae,pred_true_delta_ratio_discharge
null_ocv_coulomb[ocvT_qtemp],scenario_B,40degC,1079,0,2.7209,4.3815,40.3494,0.0,0.0,2.9809,1.129,0.0,0.0,0.0,0.0,0.0,3.499e-05,1.0743
null_ocv_coulomb[ocvT_qtemp],scenario_B,n10degC,1342,0,14.9084,26.6816,93.4837,0.0,0.0,2.4303,1.1569,0.0,0.0,0.0,0.0,0.0,2.665e-05,1.0105
null_ocv_coulomb[ocvT_qtemp],scenario_B,n20degC,962,0,21.9253,29.3887,82.4873,0.0,0.0,1.2125,0.7728,0.0,0.0,0.0,0.0,0.0,1.578e-05,1.0148
null_ocv_coulomb[oracle_qtemp],scenario_B,ALL,8010,0,0.0131,0.0238,0.3639,0.0,0.0,2.5703,1.0902,0.0,0.0,0.0,0.0,0.0,2.612e-05,1.0185
null_ocv_coulomb[oracle_qtemp],scenario_B,0degC,1395,0,0.014,0.0247,0.1937,0.0,0.0,2.9423,1.2215,0.0,0.0,0.0,0.0,0.0,3.243e-05,1.0222
null_ocv_coulomb[oracle_qtemp],scenario_B,10degC,1520,0,0.0163,0.0303,0.3639,0.0,0.0,3.1672,1.1071,0.0,0.0,0.0,0.0,0.0,1.652e-05,1.0116
null_ocv_coulomb[oracle_qtemp],scenario_B,25degC,1712,0,0.0138,0.0219,0.1567,0.0,0.0,2.8998,1.0608,0.0,0.0,0.0,0.0,0.0,3.385e-05,1.0213
null_ocv_coulomb[oracle_qtemp],scenario_B,40degC,1079,0,0.0118,0.0211,0.1914,0.0,0.0,2.9365,1.1121,0.0,0.0,0.0,0.0,0.0,2.921e-05,1.0193
null_ocv_coulomb[oracle_qtemp],scenario_B,n10degC,1342,0,0.0127,0.023,0.1637,0.0,0.0,2.4493,1.1659,0.0,0.0,0.0,0.0,0.0,2.583e-05,1.017
null_ocv_coulomb[oracle_qtemp],scenario_B,n20degC,962,0,0.0079,0.0171,0.1987,0.0,0.0,1.2471,0.7949,0.0,0.0,0.0,0.0,0.0,1.533e-05,1.0207
hard_coulomb_tcn,scenario_B,ALL,8010,208546,5.917,8.5828,39.4851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.431e-05,0.4432
hard_coulomb_tcn,scenario_B,0degC,1395,208546,5.3482,6.5783,31.8279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017e-04,0.4476
hard_coulomb_tcn,scenario_B,10degC,1520,208546,3.1386,4.231,19.7523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.015e-04,0.4203
hard_coulomb_tcn,scenario_B,25degC,1712,208546,2.7513,3.3506,21.8585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.196e-04,0.3565
hard_coulomb_tcn,scenario_B,40degC,1079,208546,2.515,3.7755,15.9471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.022e-04,0.3555
hard_coulomb_tcn,scenario_B,n10degC,1342,208546,13.7673,15.9082,31.4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.107e-05,0.5106
hard_coulomb_tcn,scenario_B,n20degC,962,208546,9.6304,11.5466,39.4851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.678e-05,0.7929
